Engine Type,Engine Power,Distance,Towing Speed,Tow Type,Tow Size,Wind Speed,Current Speed,Wave Height,Sea State,Water Depth,Wind Direction,Maintenance History,Fuel Consumption,Pilotage Point,Berthing Point,Waypoints,Traffic
1,2000,26,3.7891036311800743,2,7386,3.5447245648179715,1.6294100358751735,1.2939046504011769,4.302951537959872,18.938028025038697,5,2,935.633388821364,"(-86.6246726866275, 99.87569851857592)","(-70.50824819208097, -1.9286257640881104)","[(83.57281548415864, 178.2326309759739), (-76.47736271000673, -11.83184947819359), (-44.20019098898416, -127.91158345806463)]",46
0,2000,7,9.016674141302639,0,5628,2.751291483824818,1.480787347623331,0.3920586450355219,2.3847188334764895,13.38886365053926,7,0,689.033437978237,"(26.2747517324713, -37.72555601291148)","(23.014373269019742, -161.29237621027193)","[(21.929325710435677, 142.24730780878275), (-77.05448811745904, 35.40993433085532)]",28
1,2000,41,2.9517497971457978,0,1151,5.89186695615211,1.2128463540039416,2.504213523022955,2.911928798609418,8.61464143911161,7,0,357.14348336595543,"(89.01116688536305, 158.1866531597006)","(-5.4955769828020635, -46.97876046916397)","[(38.425590283171516, 10.844531670444638), (54.9654607527911, -3.3180630023572917), (62.58051440114855, -46.29964661719072)]",26
1,1000,40,8.045071935985632,2,7365,2.910172758379237,0.5160521408410286,0.1254029387275375,3.757857875159804,13.21410226570876,0,2,1058.3028774394252,"(19.428539654405597, -62.99517086473982)","(28.123570524383325, 61.01532749412385)","[(72.32036902415297, -42.33989545005781), (-59.109542099329275, 158.97327193538462), (3.751187579509093, -0.8970804134868615)]",20
1,2000,25,8.630100015367564,1,6347,15.540480002044404,1.371469651386731,2.042644575044487,2.7339177603235836,9.230901457953042,1,0,1066.2050007683783,"(81.82819502957014, 46.43205729986073)","(-68.4269605997325, -67.16835571062698)","[(35.538151128545536, 25.012725272143882), (59.49228694154584, 155.06575881231112), (45.43223252727955, -32.168469020976005), (63.24402194064109, -82.74598791017402)]",28
1,1000,25,9.339789702717283,2,2629,18.73202520663765,1.5138516002895266,0.8654488576541873,2.913750097333156,7.883263732605472,6,2,496.3947425679321,"(-83.95757762194027, -55.59033501478787)","(86.20202741854044, 121.50598599305215)","[(-65.65536015835922, 91.05616345019229), (84.98269366314781, -35.36552941413251), (65.16908748946815, -172.5949252339164), (66.84970270860146, 101.41110860106221)]",46
1,3000,5,4.221247042409307,2,8529,15.585930580863888,1.3639288992516816,2.0363720998172763,1.2464179097512478,7.226706898343183,4,2,916.2187056361397,"(-68.32422874201619, 22.440145040921834)","(-13.863828878706386, 7.74767492693482)","[(0.28729708620436156, -98.10069784222856), (-1.4734341868549876, 95.15273622683645)]",48
0,2000,10,9.431201544675444,1,8724,7.030804172932026,0.7432403064617938,2.361483103719879,2.6513214213246394,15.270669949196849,2,0,1061.024030893509,"(-11.323086749752903, 47.33352019785829)","(77.08761294527159, -51.723875413776426)","[(89.96502991053615, -148.48643026809827)]",17
1,2000,9,5.964434083568964,2,1279,19.375692286278017,1.5619827758664773,0.12176964479399577,3.386287736495465,9.449355865186993,6,0,235.25981350424135,"(32.515090833042535, -33.298382083361986)","(6.301706604183252, -93.22451295559235)","[(-35.854165585692215, 129.9747907459635), (-53.7555363395161, 173.21086992303572), (65.29956730965392, -60.56413689645869), (88.41991535838585, 19.283948533562636)]",42
1,2000,42,2.6673861679257165,0,2939,19.93458910382032,0.6505652403026672,2.2016049974099454,4.409423645105955,13.774765966921176,5,2,517.9604381057602,"(-87.77489766186198, 61.98221629790956)","(11.803171213233796, 66.06334406564488)","[(49.958677433104725, -91.3420362547952)]",40
1,3000,4,5.404808087044564,0,4817,10.816573640680264,0.6348746935400214,0.715181458648992,2.085603607600624,10.801875269447425,5,2,546.5576970445348,"(18.867063906092852, -159.42178421009916)","(45.79416019707551, 155.94431305057896)","[(-89.43766044502776, 146.91896019354732)]",13
1,3000,33,4.0468512178791585,0,1481,9.553779159708926,0.6322658038070741,1.5341801524312255,3.6652116374575705,16.012723551436004,1,1,548.7382705700367,"(20.831875427755705, -73.40497456434973)","(-25.103170654158774, 130.25788339171135)","[(-60.77423980518263, -150.62596580042043), (29.605795877021464, 49.20697957658044)]",11
0,3000,7,6.675616494700992,0,4625,17.207216039091527,0.6015244337600869,1.5908444393037415,1.649719506796838,11.130653401322451,4,1,602.6879463887208,"(-85.54140537573709, 12.682990722462705)","(87.92629298615415, 42.3891135423072)","[(61.70197460730631, -35.312597193534714), (-6.789319793472075, -23.237772162003438), (88.50806906565907, -132.66144092246873)]",40
1,3000,36,3.824745369095279,2,3563,19.5795216610709,0.874280758774469,1.6564607394441544,4.009831810735166,18.059584354523874,4,1,769.3724998622902,"(-88.50389482073925, -104.67813166187656)","(-47.33746303882105, 116.54780745348097)","[(19.86088260595669, 169.1574506072139), (-7.970604531686163, 25.217299370826197), (-25.941972794526606, -49.9809069966538), (47.96478622995028, 21.08310153727325)]",22
1,1000,17,4.008102945584436,2,2071,15.558554182523562,0.735381276384458,1.8338952135637707,0.7377024612365457,10.138816116388883,2,2,275.23775007493543,"(-21.825500730431827, 175.6171013232809)","(-30.702304079399937, 68.43817711323535)","[(-36.496615545411544, -140.61321298872713), (-18.942502213761486, -91.30537349039149), (40.21008979152532, 10.300725061751933), (12.727120812399889, -156.2684990303877)]",17
1,2000,38,9.072679180616335,2,4979,6.684742812993793,0.601124103943711,1.5180221640643703,4.791517952140901,10.170078152469356,5,1,1187.4236177268415,"(-86.8891426451727, 75.25081775891007)","(-2.2836794364664996, 117.81158018523507)","[(43.77278859137414, 161.06183601472645), (40.588607170606736, 154.90585541453265), (-18.674447497760696, -128.5599158081515), (-51.38822733901206, -107.98049259249171)]",8
1,1000,6,6.6702266714074785,1,1144,2.378738809860119,1.5268306172230537,1.1783176965962707,2.201054242922569,16.707561907616316,4,2,154.4213600284449,"(-11.224740302610982, 137.56590022400735)","(25.317128698983254, 141.83093875965056)","[(-29.319224632882545, -145.90447653129772)]",47
1,2000,18,4.45146579432744,2,1459,12.127658689546685,0.744975344094287,0.27503649231104865,0.5151454382583437,5.756730394137661,5,0,306.15276859578785,"(14.737831918750032, 108.66790470446176)","(-76.11403556346417, 147.74593647350724)","[(56.749408491877375, 103.86905590211205), (-88.5194337050388, 113.46542641358855)]",3
0,3000,40,9.300043095805272,1,9466,6.904391654205195,0.04602663884670233,2.8111083319057193,3.2883631934369344,5.743354680347533,5,1,2062.6051714966325,"(-80.36759190727713, -115.8870515734231)","(-43.33860841823222, 149.1768859833495)","[(3.6152142726917447, -56.38501886968534), (1.7376224045907804, -52.35386335614227), (-76.63051677074778, -88.93442508072947)]",41
1,3000,20,3.382169096123368,0,7948,15.405800197147162,0.11334580281455353,1.776166956092562,1.733383736693645,16.600702165765224,3,1,997.7301457674022,"(53.11648272052122, 109.92085659125041)","(-67.08190161920787, 81.56230425962923)","[(-26.19256213756514, -3.1498328249190877), (-39.739484841859905, 2.8077213159179166)]",7
0,1000,11,4.05219684798603,1,1785,7.63497552916607,0.8319418367138025,0.8750559539158116,0.9771201852340444,11.914080287593112,6,1,223.07416532784634,"(55.87015875926997, -136.98822630324258)","(-40.03049682979522, -152.7088906015984)","[(-46.57098786066684, 92.0498966645103)]",11
0,2000,36,5.617082215835705,1,9372,15.20030395137365,1.4126467975944632,2.169643786487619,4.957089499619994,5.283963215465624,0,2,1341.6299195401707,"(35.74752840967871, -21.077294054679527)","(7.4315331990682125, 167.4793897267972)","[(-55.103311440090955, 166.45194394862125)]",36
1,2000,22,8.150530655720326,1,4957,13.789475388167451,1.4575791393563116,1.6221444444505693,0.8946106962376199,6.375759498906636,4,2,854.3233488516944,"(-80.92479867587411, -74.5055601918709)","(-19.418036506899796, -138.07664794375174)","[(-63.38122029724374, -27.747191830974458), (-5.443902047154083, 69.3382106477678), (-35.560787009986704, 22.339920479696957), (-83.56841071774552, 120.46083994104833)]",7
0,2000,38,5.821516203576634,2,4567,14.764544315432923,0.9316539910213715,0.344655495156722,4.510357343132653,6.103616753380882,2,0,899.1352314718242,"(79.98067675282459, -5.4812172953016045)","(-37.021721407321685, -139.67432101584745)","[(10.080047513820531, -103.76130106146147), (53.689145742305726, -15.255826744832063), (17.665674363344948, 90.75673186615256)]",0
0,3000,49,4.473391821052526,1,6792,14.35840975998822,0.7918783585066813,1.7993373473982746,4.9299794126231555,9.989136488399335,7,2,1336.7885976947214,"(-24.92968913059329, -61.505713129623445)","(74.01138096988038, -170.89822883842922)","[(-69.61869281518513, 140.64966044870766), (5.957706750362391, 131.14023379718293), (-36.90184215476452, 179.46095735301537)]",4
1,2000,16,5.751276580855301,1,1146,19.882232977825513,0.5766166899439109,1.177440325348448,0.8712148868642661,9.9175997024508,4,2,298.64085058736964,"(46.239019068015324, 124.98125491294587)","(80.2715059151412, 132.2113030143443)","[(55.58753360873786, 117.72469309291182), (-70.20896165424654, 172.40453267818498), (-23.870848135269497, 123.42098740468168), (-61.87137114150207, -97.97815221385035)]",38
1,1000,26,4.5363652750469425,0,5715,12.617476696851096,1.0067335899317358,2.347216559603367,1.6078328582419388,7.17211152544486,3,1,689.4454971512205,"(78.40643075559632, -77.48705530961224)","(-4.744866896249235, 115.59631365318148)","[(-67.31496283839577, -167.5454956782864), (43.234208323173874, -34.538994091882444)]",41
0,3000,33,9.13761467992003,1,7781,14.262773756059035,1.838202898054215,2.2893700516523476,4.838257662737523,8.483949264089718,3,0,1682.723853312083,"(-68.5995306541668, 2.736392140715907)","(25.582911381051716, -152.29159132721293)","[(-20.055396530832326, 51.80582874587833)]",39
0,3000,18,6.613906943488485,1,4274,12.93459872608102,0.2242917713353909,2.6011481674055026,2.1479719024821335,17.5994225423511,0,2,784.5509749483782,"(20.42578356175885, 81.5420925568514)","(-71.50123680700486, -170.6267296980078)","[(33.33996334399119, 155.0717442464611), (-75.20617478314725, 144.34648916632705)]",2
0,3000,41,9.156831246581463,0,7653,17.726914923507625,1.8350245171433364,1.1592640062852015,0.038637871790931366,5.009146446789748,7,2,1891.59024332952,"(-21.972053299616675, -26.179423032544634)","(-64.19110803023457, 73.17867661283967)","[(39.457733506934744, -162.9503869451169)]",27
1,3000,30,4.023143377945563,0,2955,10.023909549851451,1.2709660462252985,2.178199405461373,4.195835389953463,6.506704626012141,0,1,657.5829040151007,"(24.36647891119462, -118.58685255005865)","(-86.5414000684942, 45.27367014460097)","[(58.7624146973622, 54.45494714687348)]",0
0,2000,40,2.453292281175286,1,3087,7.2643104669770775,0.9196855535983537,2.894289035264849,2.2684327449867085,8.966548116672659,7,1,504.96338249402294,"(-1.5633902340163957, 12.46145280146726)","(30.397514402639914, -149.99320603275237)","[(25.6646639439831, 176.1119698808268)]",11
1,1000,14,7.689472946445738,1,4589,11.552394632368204,1.1274172528173432,0.42690117569692043,0.8972884181677016,14.01858509916799,2,0,566.5526212502403,"(45.31849295500692, 37.218855158723784)","(-38.29070220165577, -82.59129637690157)","[(-15.59518647217807, 125.08190432747205), (9.095625041488859, 177.04236055816534), (-45.6159358292379, 130.82469983391826)]",38
0,1000,46,7.300084870397915,1,1711,4.486605900966836,1.550660750230562,0.5668638655796739,2.8639358432475417,10.731186957783798,7,1,506.9039040383041,"(-5.612240723114496, 22.678888935040504)","(-54.798369309669866, -114.86382598787755)","[(46.95541988789162, -61.521977791066234), (-82.15570317863772, -125.66546146944981), (-4.226007968550206, -19.459463297350936), (-70.68698138988377, 91.52394559951489)]",40
0,2000,30,6.75627057962395,1,1136,13.062973139233822,1.038771728771643,1.2517668427767745,4.15501153907953,13.688926374639765,3,2,518.9762347774371,"(6.133288882570369, 50.02424847951826)","(41.07297473576955, -18.384244600555178)","[(-14.358028867919032, 103.89710101373765)]",9
1,2000,18,4.651226439187415,1,5747,1.337795787195084,0.4488685688013603,2.426064502528342,3.00138223548554,5.984944936350365,3,1,742.144151810747,"(-12.024024365803314, 66.29642023716622)","(-67.26007658562868, 177.4600140481797)","[(1.3812596614209411, 144.2862777672657), (67.06947583862896, -4.156001055573512), (-76.82511704709042, -174.90187555937558), (-42.15745885122058, -67.15501708953609)]",28
0,2000,20,4.996514922962614,2,3938,12.144804470306923,1.065727262850164,0.47062272596447474,3.737213236075437,9.88694827484429,0,0,593.6605969185046,"(-26.93819413563918, -98.49209611404508)","(-3.8858936720310453, 112.96271229312856)","[(-28.699273923153164, 15.687962302375809), (8.060915664061781, -157.56742108601938), (-28.596993648252983, -125.20261224877771), (-82.00684055187226, -57.88755657223783)]",6
1,3000,27,9.904911566932864,1,5799,12.779929281130824,1.6950090706061756,0.3213550150292308,1.6125049204015145,8.699042600087349,6,1,1382.1978369215617,"(41.12626511376595, -32.24416562586546)","(86.5703456642299, -88.16401588917078)","[(53.93539220425242, 63.12713120842338), (-65.7324786758828, 108.03124063761726), (-3.705472135561095, 106.90713621632659)]",16
0,3000,17,8.926027104277987,2,1366,10.437262633099344,0.549951125626478,2.142795744308387,4.618759099268851,11.403096783675412,3,0,591.8273823181773,"(52.03241357562516, -116.40378611255188)","(-72.55370061295277, 23.293178211920548)","[(-43.076932026938316, 178.85615507679512)]",35
0,2000,31,3.1798253393738447,0,2621,13.840429539809886,0.6452400768196864,1.5412239291842689,2.4997610776022916,15.828275136805477,5,1,459.2491710411784,"(-36.68664559459657, -35.055330565457126)","(-11.54473611935849, 82.11072232916564)","[(72.54901089780444, 120.37169326787546), (27.97930117175791, 138.91659298318837), (18.546551997153557, 50.37678234141694), (10.029958296743459, -36.73100432084905)]",39
1,1000,44,2.0628532389839247,0,2540,9.103143915939535,1.3385435851487304,1.2638668781847007,3.611980169666027,14.606712322170647,2,1,344.7655425152927,"(78.05522656365292, -17.06485512238274)","(21.818704001414588, -63.57771942912207)","[(22.893845124921768, 29.26162580952692)]",21
0,1000,7,5.948986162393392,0,4306,9.140965828145308,0.5817811266512731,1.0093874571872394,2.1483650667215337,10.112798239876767,6,0,472.24290313675374,"(2.2218821916453777, 81.20600345086063)","(33.39087319489849, -67.9551454573708)","[(-6.949993945276404, -59.46769889250588)]",19
1,3000,43,9.169822601372244,1,7198,13.092981270563817,1.3052637634465418,0.01436391275555371,2.431446903350325,5.7481091285660915,6,1,1902.7071155770195,"(-26.154228033055496, -177.04751225462746)","(3.8197923202534128, 170.7475448221864)","[(-52.49130442802279, -90.92875957454443), (-46.97013624267708, -114.00545825752484), (-46.89422091718424, 21.007268824950955)]",36
1,3000,2,8.843535347510654,0,5371,15.488801078118087,1.2632867764699303,2.4579019776973947,3.7979377617549,14.354959634886123,6,1,590.161212085064,"(-57.27396145654944, -109.8365287427336)","(43.69356652220327, 70.0149866473393)","[(-22.615554413648837, -117.75374172023295), (52.3590448105885, -97.59301532872212), (-33.67782023932778, 169.24964769094038)]",49
0,3000,15,8.44411746130703,1,6393,1.3620020645461706,1.220659838652662,0.4464554381011838,0.4416280933753619,18.2912416875,3,2,1019.2852857588164,"(33.93095242505328, -171.46994676028902)","(3.3521223178375124, -108.65518478612935)","[(50.946684186909465, 92.24872722689065), (-53.11496744500447, 121.22621228819094), (28.647691920363485, 25.529379230737845), (-39.07741286903575, -62.35241417869655)]",4
1,1000,28,6.795149080875563,1,7072,10.218763381275561,0.9452404506488656,0.04867486734387538,0.5369775761079448,6.337852166631272,2,0,897.4641742645158,"(25.991476076330272, 36.21845168807104)","(52.49403640758064, 167.87536938181154)","[(-75.11901157641267, 40.073715520052474), (0.7094447391525875, -39.39602605194065), (72.0094251279852, -45.4102220578319), (-84.80048534535152, 154.67948983143123)]",23
0,1000,2,4.186570048721165,0,8481,14.323307153118378,0.6227781743243359,0.5128478184976767,4.568944253991949,18.317910421289035,1,1,856.4731400974423,"(-25.364558593727836, 115.28695648153018)","(-67.88762397049605, -138.77227275355582)","[(67.51842398376834, -4.650297723706302), (-71.48984809499724, -126.73284215283738)]",39
0,2000,3,9.322005899869314,2,1999,15.73162033632075,0.24680085826839004,2.660673268957855,4.615108079795423,7.916727043718205,7,0,255.8320353992159,"(-25.025236618934656, -104.05573613134324)","(19.189485664042195, 149.79378154290924)","[(-25.534332046517278, 87.73936293299329)]",22
0,2000,6,4.784534199608157,2,1752,4.870469315344894,0.1588802474082176,1.6972092048925085,3.102024513020842,11.364333316450288,2,2,232.6144103952979,"(-18.933432936470425, -159.6227136819357)","(-19.69691761102584, -163.32681136767337)","[(-63.509115718523915, -73.31616227544545), (58.58989473805596, -127.4691732495449)]",0
1,3000,2,3.100496048189509,1,6106,14.815500084490589,1.6491629244014423,1.901407555273787,3.386642717174789,17.261022941377483,5,0,629.202976289137,"(62.953240859626106, -164.89303437860812)","(16.508835345486773, 68.90117239778368)","[(-35.824018511334245, 32.926113391210095), (-40.72892320119087, 111.96411241921697), (21.862083359064272, 17.06888774216776), (-17.454506462845785, 122.33101353058765)]",37
0,3000,13,8.100748133200737,0,9565,6.72221538269752,1.6344969767502737,0.845518592201311,3.9951210736352283,15.593579382992706,0,2,1272.4291771948288,"(-48.97660502743902, -1.3286637477783358)","(-81.1938166702787, 57.709504578705975)","[(29.112430644154983, -158.0330851894977), (-82.08767870559659, -64.63973870740209), (-71.86337977991718, -93.93396124289407), (33.98776741468029, 166.12819991474976)]",2
1,1000,42,7.83421473751235,1,8565,8.408266452244888,1.3815339332191379,2.2422759134851558,1.6483356690568547,5.617921589499045,6,1,1185.5370189755188,"(-77.74701894724872, 96.00944650608193)","(43.91785312232773, 133.81767296259028)","[(47.56454878724219, 171.44094304983912), (42.765363177521635, 118.543807310658)]",4
0,1000,47,2.244847196709637,0,1339,14.220793877247981,0.3329732078248089,2.7600543678175833,2.421065120115184,15.33803077562177,0,0,239.40781824535293,"(48.8023243596414, 161.97594100635393)","(-38.99840934035794, -76.94325199987053)","[(62.230842585066995, -140.46354337975913), (-66.663847027987, -161.00697911591146)]",19
1,2000,4,7.688444251812852,2,8490,1.5619006661895352,0.6953171937004647,2.6257908222872905,4.457425346141843,19.5605313534411,0,0,910.5075540145028,"(-38.73721225108581, 15.665890815600363)","(-46.42800178970269, -53.3688440030386)","[(-37.46645151313459, -29.328767304694026), (73.62642484115997, 88.91370383973123)]",21
1,1000,29,8.60562135135351,0,6294,14.499735458703212,1.3006855370226,1.2807778961589449,1.0632481718419695,13.634164877648121,0,0,878.9630191892519,"(17.01740263510817, 163.06936638746635)","(34.03594998644503, 53.390418992539225)","[(-51.692503767328205, 98.47416840916003), (60.86409953933875, -178.83812119840766), (-53.54429463473972, 8.908379330448895), (50.60790166817753, -25.446127589537923)]",45
1,2000,6,3.021768621140243,1,4709,14.42066209871965,1.3996634293137826,2.8898569277305235,3.508017381793072,13.561151292896753,7,2,507.16122345368296,"(-24.32168738613477, -133.13509139397183)","(13.198333708165137, -151.80961555627766)","[(-6.992658529688043, -155.59404560362884)]",33
0,2000,17,9.45815346954381,1,6098,7.840469704271314,1.0777489709241477,2.706314993200583,4.089505754133868,19.65121256658473,2,2,931.3772179644895,"(-30.34451642200922, -35.9459437704613)","(-54.999020478444436, -139.23273973139828)","[(17.303988172533153, 11.595573509392267)]",29
1,3000,42,2.8469767280044147,0,6007,11.183341292030654,0.8411147479787673,1.6096708425376565,1.9902178781124458,10.203549360858469,4,1,959.4190677285563,"(-74.20272525011006, 30.614480996920605)","(-83.54120203140775, -49.503495530621535)","[(6.610401834755635, -96.74090300042003)]",17
0,1000,17,2.9356811966647687,1,3975,3.229338764450189,1.6627922996192823,0.43540125350387904,0.21816752542693052,16.002597081590984,3,0,447.4065803433011,"(88.26118064978118, -14.089842645556075)","(-13.294341525256016, -152.04525653613308)","[(-4.39941771660267, 103.27997838655023), (34.03382888856382, 150.21376050873556), (81.19051104121985, -51.17808232217857), (-23.380485966045853, 115.94081505769543)]",21
0,1000,14,3.0095690356556215,1,2153,8.467432176649424,1.414799585184813,1.390495599019209,0.5532302220395657,14.118242854639961,1,2,257.4339664991787,"(31.53313254755672, -51.52943163324156)","(69.35705917819286, 86.710336330276)","[(3.1492802461882974, 100.64802900486171), (-30.014240155845073, -61.8718112792874), (15.185710357459996, -22.73976027241872), (85.58926773239602, -143.7018759954796)]",9
0,3000,21,9.400717345834606,1,4450,2.2917507403489834,0.6928017125332004,1.1808805461964247,4.241695180951465,8.58744938684362,0,2,1037.2451927875802,"(87.40011235583498, 174.88011165688658)","(5.116314052669438, -6.570098981177722)","[(44.31808926152439, 60.184588630196345), (-68.17825402433421, -105.71185764249276)]",23
0,3000,25,3.59704978821249,2,7617,17.802657367775257,1.6252344330442305,2.186437035460469,3.846044914029627,19.893505710026286,2,2,1031.4787341159367,"(-54.161363031207436, 84.51586664564991)","(2.8141681180771343, -16.507771587508074)","[(43.923384967713275, -83.2451414429256), (16.187869571436664, 94.40658443179814), (86.87265015814242, -42.64305783240641)]",45
1,3000,4,8.610182793847152,1,2150,5.058927911197959,1.3820568135226408,2.1498659820405286,0.41616457180406463,9.433997462323772,2,1,318.32219352616585,"(-34.49646181451726, 116.8652658371696)","(-27.893210572413345, 101.04408332792946)","[(-87.90532324313189, -43.981880972899035), (-38.071233655909595, 33.19308509788445), (34.48750642196036, 55.2554730453991)]",33
1,3000,41,4.2410453881919015,0,6262,12.630239429304684,1.5973356918752184,2.777689577576072,0.5677506769946927,19.340002399983195,6,0,1147.8485827476038,"(-42.872380180182645, -8.143230683816682)","(34.77192252737868, 119.47026598585097)","[(-64.11978990114356, -22.03461710363868), (23.07415123332764, -110.79624311002198), (-56.58409527815016, -98.85750060168921)]",9
